slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-grumpy-comptable,Lundi matin,Sticker Grumpy Comptable.png,match exact,mapping 270,
massive-guitariste,Riff zombie,Sticker Guitariste.png,match exact,mapping 270,
massive-happy-guy,Chapeau melon,Sticker Happy Guy.png,nom different,sync juillet,"site attend ""Sticker Chapeau melon"", Drive a ""Sticker Happy Guy.png"""
massive-head-double,Emprise,Sticker Head double.png,match exact,mapping 270,
massive-hobbi,Errant masqué,Sticker hobbi.png,match exact,mapping 270,
massive-hot-dogs-meeting,Fête des hot-dogs,Sticker Hot dogs meeting.png,nom different,sync juillet,"site attend ""Sticker Fête des hot-dogs"", Drive a ""Sticker Hot dogs meeting.png"""
massive-hotdog,Hot-dog vivant,Sticker hotdog.png,match exact,mapping 270,
massive-icecream-monster,Monstre glacé,Sticker Icecream monster.png,nom different,sync juillet,"site attend ""Sticker Monstre glacé"", Drive a ""Sticker Icecream monster.png"""
massive-indian-mural,Fresque sacrée,Sticker Indian mural.png,match exact,mapping 270,
massive-indian-skull,Chamane hibou,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Indian skull.png"" introuvable au Drive"
massive-jack-le-faisant,Bourreau,Sticker Jack le faisant.png,match exact,mapping 270,
massive-jade,Jade,Sticker Jade.png,match exact,mapping 270,
massive-jolie-chinoise,Encre douce,Sticker Jolie chinoise.png,match exact,mapping 270,
massive-jukebox,Jukebox rétro,Sticker Jukebox.png,nom different,sync juillet,"site attend ""Sticker Jukebox rétro"", Drive a ""Sticker Jukebox.png"""
massive-kapibara,Capybara folk,Sticker Kapibara.png,match exact,mapping 270,
massive-key-master,Maître des clés,Sticker Key master.png,nom different,sync juillet,"site attend ""Sticker Maître des clés"", Drive a ""Sticker Key master.png"""
massive-kosuke,Sourire en coin,Sticker Kosuke.png,nom different,sync juillet,"site attend ""Sticker Sourire en coin"", Drive a ""Sticker Kosuke.png"""
massive-kouklikou,Carlin coupe bol,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Kouklikou.png"" introuvable au Drive"
massive-lapin,Cascade lapins,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Lapin.png"" introuvable au Drive"
massive-lapin-excite,Lapin fantôme,Sticker Lapin excité.png,nom different,sync juillet,"site attend ""Sticker Lapin fantôme"", Drive a ""Sticker Lapin excité.png"""
massive-lapin-rose,Lapin os croisés,Sticker Lapin rose.png,nom different,sync juillet,"site attend ""Sticker Lapin os croisés"", Drive a ""Sticker Lapin rose.png"""
massive-leprochaune,Lutin damné,Sticker Leprochaune.png,match exact,mapping 270,
massive-lingerie,Dentelle noire,Sticker Lingerie.png,nom different,sync juillet,"site attend ""Sticker Dentelle noire"", Drive a ""Sticker Lingerie.png"""
massive-little-dragon,Petit dragon,Sticker Little Dragon.png,nom different,sync juillet,"site attend ""Sticker Petit dragon"", Drive a ""Sticker Little Dragon.png"""
